iter	Logloss
0	0.6747930156
1	0.6567708039
2	0.641734794
3	0.6258077978
4	0.6137428165
5	0.6004661602
6	0.5876743439
7	0.5793136935
8	0.5678433017
9	0.5568921878
10	0.5462657384
11	0.5358499062
12	0.5319913382
13	0.5239522481
14	0.5161641729
15	0.5083980538
16	0.500144322
17	0.4934163801
18	0.4874374315
19	0.4804499566
20	0.4741001788
21	0.4668826692
22	0.4616716768
23	0.4568677431
24	0.4507912846
25	0.4467493284
26	0.4402602206
27	0.4339874748
28	0.4292201682
29	0.4258712016
30	0.4210460904
31	0.4196907879
32	0.4157425179
33	0.4120630794
34	0.4082108293
35	0.4049205398
36	0.4010665454
37	0.3984777799
38	0.3938380679
39	0.3920243304
40	0.3899797491
41	0.3877976487
42	0.3848750683
43	0.3821942781
44	0.3797500165
45	0.3769728535
46	0.3746457564
47	0.3735740052
48	0.3720373935
49	0.3693185653
50	0.3667169544
51	0.3648840211
52	0.3648538088
53	0.3637239641
54	0.3618232697
55	0.3602049918
56	0.3585999761
57	0.3562668809
58	0.3536247937
59	0.3529912164
60	0.3508218024
61	0.3484031844
62	0.3461845776
63	0.3453319452
64	0.3427472747
65	0.3411817167
66	0.3401280955
67	0.3388825032
68	0.3362033365
69	0.3338563255
70	0.3314153165
71	0.3302937175
72	0.3284167662
73	0.3268752128
74	0.3253177592
75	0.3242617803
76	0.3224216484
77	0.3207435249
78	0.3194295659
79	0.3171452824
80	0.316105966
81	0.3151617258
82	0.3134097691
83	0.3112559789
84	0.3086383614
85	0.3072433939
86	0.3053944221
87	0.3047476482
88	0.3035026426
89	0.3023435622
90	0.3013655422
91	0.300345828
92	0.2985512338
93	0.2965235629
94	0.2941126352
95	0.2922026103
96	0.2910651885
97	0.2896066266
98	0.2875548725
99	0.2866465278
100	0.2852986351
101	0.2845277499
102	0.2832012048
103	0.2818803363
104	0.2804768916
105	0.2797964121
106	0.279149857
107	0.2775991807
108	0.2767542235
109	0.2759648573
110	0.2732329353
111	0.2719497403
112	0.2715013763
113	0.2705738465
114	0.2680914822
115	0.2678475624
116	0.2673516455
117	0.2659028658
118	0.2648950875
119	0.2639389083
120	0.2628794901
121	0.262374307
122	0.2612880262
123	0.2605692191
124	0.2596798174
125	0.2590981643
126	0.2576932629
127	0.2561285236
128	0.2552073993
129	0.2547928016
130	0.2530143999
131	0.2520518412
132	0.2512852415
133	0.2509057382
134	0.2499540287
135	0.2486454591
136	0.2464411376
137	0.245913442
138	0.2447992464
139	0.2445042578
140	0.2438295765
141	0.243189977
142	0.24221545
143	0.2418401075
144	0.2399305786
145	0.2394347376
146	0.2384645805
147	0.2377283044
148	0.2365995076
149	0.2352861839
150	0.2342777051
151	0.2334395187
152	0.2330732981
153	0.2329506432
154	0.2322058779
155	0.2312585277
156	0.231021697
157	0.2302471661
158	0.2285345906
159	0.2282608158
160	0.2274522393
161	0.2270465724
162	0.226468979
163	0.2257514913
164	0.2256689847
165	0.2248507075
166	0.2244680404
167	0.2241210401
168	0.2232082788
169	0.2226535706
170	0.2209299277
171	0.2206596302
172	0.2192051353
173	0.2185264025
174	0.2173035962
175	0.2165137397
176	0.2148492637
177	0.214183402
178	0.2121592355
179	0.2112671646
180	0.2105198643
181	0.2088952938
182	0.2075955715
183	0.2070188807
184	0.2064593207
185	0.2058620936
186	0.2045143099
187	0.2022760668
188	0.201380474
189	0.2004969191
190	0.1997891185
191	0.1990552407
192	0.1977244712
193	0.1961243205
194	0.1959004821
195	0.1951559348
196	0.1936112382
197	0.192837913
198	0.1925135323
199	0.1911434781
200	0.1901042981
