iter	Passed	Remaining
0	12	14536
1	16	10117
2	20	8199
3	26	7778
4	33	7960
5	44	8770
6	57	9752
7	69	10325
8	77	10263
9	84	10061
10	93	10070
11	101	10037
12	107	9829
13	113	9632
14	119	9474
15	154	11405
16	160	11181
17	166	10912
18	173	10813
19	180	10637
20	187	10508
21	193	10374
22	200	10246
23	207	10154
24	214	10104
25	217	9814
26	226	9858
27	251	10525
28	257	10399
29	263	10260
30	268	10117
31	270	9888
32	281	9937
33	287	9875
34	299	9970
35	305	9887
36	311	9788
37	317	9697
38	325	9692
39	333	9675
40	343	9705
41	354	9766
42	367	9876
43	400	10524
44	409	10499
45	433	10878
46	447	10988
47	458	11009
48	465	10945
49	479	11020
50	485	10948
51	492	10882
52	494	10694
53	500	10624
54	507	10567
55	514	10508
56	520	10428
57	527	10387
58	533	10318
59	536	10197
60	545	10185
61	553	10152
62	561	10131
63	569	10104
64	580	10134
65	587	10089
66	601	10169
67	617	10286
68	625	10258
69	640	10336
70	662	10542
71	670	10502
72	677	10460
73	683	10400
74	693	10400
75	703	10399
76	711	10383
77	723	10406
78	749	10639
79	765	10713
80	785	10853
81	795	10850
82	804	10825
83	811	10782
84	818	10738
85	828	10729
86	840	10754
87	849	10729
88	854	10669
89	862	10640
90	870	10605
91	876	10558
92	884	10533
93	891	10484
94	898	10455
95	915	10527
96	930	10576
97	936	10530
98	944	10506
99	952	10475
100	962	10470
101	968	10422
102	975	10391
103	985	10383
104	993	10358
105	999	10314
106	1009	10309
107	1018	10295
108	1028	10294
109	1039	10303
110	1045	10260
111	1051	10214
112	1058	10179
113	1061	10116
114	1067	10067
115	1069	9998
116	1075	9958
117	1082	9925
118	1088	9887
119	1094	9851
120	1111	9911
121	1120	9904
122	1133	9920
123	1140	9894
124	1146	9857
125	1152	9824
126	1160	9803
127	1175	9848
128	1275	10587
129	1284	10568
130	1302	10629
131	1311	10613
132	1326	10643
133	1329	10577
134	1334	10528
135	1340	10485
136	1347	10455
137	1353	10418
138	1360	10386
139	1370	10373
140	1376	10339
141	1382	10298
142	1390	10275
143	1394	10226
144	1402	10201
145	1408	10165
146	1419	10170
147	1426	10141
148	1434	10118
149	1439	10077
150	1445	10044
151	1453	10021
152	1458	9980
153	1461	9927
154	1470	9912
155	1475	9875
156	1479	9829
157	1487	9811
158	1498	9809
159	1534	9974
160	1545	9970
161	1554	9958
162	1571	10000
163	1581	9990
164	1585	9942
165	1597	9952
166	1608	9950
167	1614	9917
168	1622	9897
169	1630	9876
170	1638	9862
171	1647	9845
172	1654	9820
173	1661	9797
174	1668	9772
175	1675	9748
176	1681	9721
177	1687	9691
178	1695	9673
179	1713	9711
180	1724	9706
181	1735	9705
182	1743	9689
183	1750	9667
184	1758	9646
185	1764	9618
186	1778	9632
187	1788	9629
188	1797	9617
189	1803	9585
190	1811	9570
191	1818	9548
192	1826	9532
193	1835	9515
194	1849	9534
195	1856	9510
196	1862	9482
197	1873	9479
198	1882	9466
199	1906	9533
200	1917	9527
201	1922	9498
202	1929	9477
203	1948	9511
204	1955	9491
205	1962	9470
206	1974	9470
207	1997	9526
208	2006	9513
209	2019	9520
210	2040	9565
211	2050	9554
212	2056	9528
213	2068	9530
214	2079	9525
215	2087	9510
216	2103	9527
217	2133	9611
218	2149	9627
219	2158	9614
220	2166	9597
221	2179	9602
222	2192	9605
223	2219	9669
224	2243	9722
225	2259	9737
226	2276	9756
227	2286	9749
228	2299	9751
229	2311	9747
230	2324	9750
231	2385	9953
232	2393	9935
233	2409	9947
234	2419	9933
235	2425	9908
236	2436	9898
237	2440	9866
238	2447	9841
239	2456	9827
240	2466	9813
241	2475	9799
242	2482	9778
243	2486	9742
244	2496	9729
245	2509	9730
246	2518	9715
247	2523	9687
248	2537	9690
249	2549	9687
250	2558	9674
251	2574	9684
252	2595	9716
253	2615	9740
254	2622	9718
255	2631	9703
256	2639	9683
257	2644	9656
258	2658	9657
259	2666	9641
260	2679	9641
261	2689	9629
262	2696	9606
263	2743	9727
264	2807	9904
265	2812	9874
266	2818	9848
267	2827	9834
268	2861	9904
269	2894	9969
270	2907	9968
271	2927	9987
272	2937	9973
273	2947	9960
274	2965	9974
275	2978	9972
276	2990	9965
277	3027	10039
278	3047	10058
279	3061	10060
280	3089	10104
281	3105	10108
282	3110	10077
283	3115	10048
284	3121	10021
285	3133	10013
286	3147	10012
287	3210	10165
288	3289	10368
289	3308	10380
290	3316	10361
291	3323	10335
292	3327	10301
293	3337	10284
294	3356	10298
295	3366	10282
296	3376	10267
297	3385	10247
298	3393	10226
299	3413	10239
300	3420	10215
301	3427	10190
302	3433	10165
303	3439	10136
304	3459	10150
305	3468	10132
306	3515	10224
307	3522	10202
308	3530	10181
309	3537	10155
310	3547	10140
311	3560	10132
312	3566	10106
313	3576	10092
314	3589	10085
315	3600	10071
316	3607	10047
317	3615	10027
318	3622	10003
319	3626	9973
320	3631	9944
321	3648	9949
322	3658	9934
323	3664	9908
324	3672	9887
325	3679	9865
326	3697	9870
327	3705	9851
328	3711	9827
329	3718	9804
330	3729	9792
331	3749	9802
332	3762	9796
333	3774	9785
334	3791	9789
335	3798	9767
336	3803	9740
337	3809	9714
338	3815	9691
339	3825	9675
340	3835	9660
341	3844	9644
342	3851	9622
343	3858	9602
344	3865	9580
345	3874	9563
346	3882	9543
347	3890	9524
348	3895	9499
349	3900	9472
350	3906	9447
351	3911	9423
352	3917	9399
353	3930	9392
354	3947	9396
355	3957	9381
356	3967	9369
357	3988	9380
358	4000	9372
359	4007	9350
360	4013	9327
361	4018	9303
362	4026	9284
363	4035	9268
364	4050	9266
365	4058	9247
366	4076	9252
367	4089	9245
368	4095	9223
369	4100	9199
370	4109	9183
371	4115	9161
372	4134	9165
373	4147	9160
374	4156	9144
375	4166	9130
376	4187	9140
377	4202	9139
378	4208	9117
379	4215	9095
380	4225	9083
381	4232	9063
382	4241	9046
383	4250	9031
384	4256	9010
385	4261	8986
386	4271	8973
387	4277	8952
388	4283	8930
389	4291	8912
390	4297	8892
391	4304	8871
392	4314	8859
393	4356	8912
394	4371	8908
395	4377	8887
396	4388	8876
397	4394	8856
398	4400	8833
399	4424	8849
400	4431	8829
401	4436	8807
402	4442	8786
403	4450	8768
404	4458	8752
405	4466	8734
406	4478	8726
407	4537	8807
408	4548	8795
409	4565	8796
410	4573	8779
411	4583	8765
412	4589	8746
413	4602	8738
414	4612	8725
415	4617	8703
416	4626	8687
417	4633	8667
418	4640	8650
419	4656	8648
420	4663	8628
421	4669	8607
422	4674	8585
423	4680	8565
424	4692	8556
425	4705	8549
426	4713	8532
427	4722	8518
428	4732	8505
429	4742	8492
430	4751	8477
431	4760	8462
432	4765	8442
433	4776	8430
434	4785	8415
435	4795	8403
436	4804	8387
437	4811	8371
438	4827	8368
439	4833	8348
440	4856	8357
441	4866	8345
442	4886	8350
443	4895	8336
444	4904	8320
445	4932	8338
446	4938	8319
447	4943	8298
448	4953	8284
449	4966	8277
450	4978	8268
451	4984	8249
452	4990	8228
453	4999	8214
454	5005	8195
455	5015	8182
456	5029	8177
457	5036	8159
458	5043	8141
459	5058	8137
460	5068	8124
461	5076	8109
462	5083	8091
463	5094	8080
464	5109	8076
465	5122	8069
466	5133	8057
467	5141	8042
468	5147	8023
469	5157	8010
